nama_kemukiman,nama_kecamatan,nama_kab_kota
Bangkeh,Geumpang,Pidie
Aron,Geulumpang Tiga,Pidie
Teupin Raya,Geulumpang Tiga,Pidie
Glumpang Minyeuk,Geulumpang Tiga,Pidie
Lambaro,Geulumpang Tiga,Pidie
Caleue,Indra Jaya,Pidie
Lhok Kaju,Indra Jaya,Pidie
Garot/Tungkop,Indra Jaya,Pidie
Bluek Grong-Grong,Indra Jaya,Pidie
Gapui/Suwiek,Indra Jaya,Pidie
Asan Kumbang,Kembang Tanjong,Pidie
Arusan,Kembang Tanjong,Pidie
Kampong Asan,Kembang Tanjong,Pidie
Blang Gapu,Kembang Tanjong,Pidie
Rheueng-Rheueng,Kembang Tanjong,Pidie
Kuta Baro,Kembang Tanjong,Pidie
Kuta Asan,Kota Sigli,Pidie
Kuta Budee,Kota Sigli,Pidie
Kota Sigli,Kota Sigli,Pidie
Meutereum,Mila,Pidie
Ilot,Mila,Pidie
Andeue,Mila,Pidie
Tgk Laweueng,Muara Tiga,Pidie
Cure,Muara Tiga,Pidie
Kalee,Muara Tiga,Pidie
Yaman,Mutiara,Pidie
Keumangan,Mutiara,Pidie
Beureueh,Mutiara,Pidie
Busu,Mutiara,Pidie
Kunyet,Padang Tiji,Pidie
Peudaya,Padang Tiji,Pidie
Paloh,Padang Tiji,Pidie
Beurabo,Padang Tiji,Pidie
Gogo,Padang Tiji,Pidie
Tanjong,Padang Tiji,Pidie
Mesjid,Peukan Baro,Pidie
Guci Rumpong,Peukan Baro,Pidie
Bambi,Peukan Baro,Pidie
Pinueng,Peukan Baro,Pidie
Krueng Dayah,Peukan Baro,Pidie
Krueng Seumideun,Peukan Baro,Pidie
Gampong Lhang,Pidie,Pidie
Keulibeut,Pidie,Pidie
Asan,Pidie,Pidie
Paloh,Pidie,Pidie
Gampong Baro,Pidie,Pidie
Teubeng,Pidie,Pidie
Sanggeue,Pidie,Pidie
Utue/Baloh,Pidie,Pidie
Langga,Sakti,Pidie
Kandang,Sakti,Pidie
Cot Murong,Sakti,Pidie
Leumpeum,Sakti,Pidie
Mali,Sakti,Pidie
Lameue,Sakti,Pidie
Bakti,Sakti,Pidie
Bunggie,Simpang Tiga,Pidie
Lancang,Simpang Tiga,Pidie
Iboih,Simpang Tiga,Pidie
Gigieng,Simpang Tiga,Pidie
Peukan,Simpang Tiga,Pidie
Mangki,Simpang Tiga,Pidie
Tungoe,Simpang Tiga,Pidie
Pulo Mesjid,Tangse,Pidie
Layan,Tangse,Pidie
Tanjong Bungong,Tangse,Pidie
Beungga,Tangse,Pidie
Tiro,Tiro/Truseb,Pidie
Truseb,Tiro/Truseb,Pidie
Daya,Tiro/Truseb,Pidie
Blang Keudah,Tiro/Truseb,Pidie
Keumala Raya,Keumala,Pidie
Keumala Dalam,Keumala,Pidie
Titeue,Titeue,Pidie
Tong Pudeng,Titeue,Pidie
Usi,Mutiara Timur,Pidie
Ujong Rimba,Mutiara Timur,Pidie
Alue Batee,Mutiara Timur,Pidie
Jeurat Manyang,Mutiara Timur,Pidie
Gumpueng,Mutiara Timur,Pidie
Adan,Mutiara Timur,Pidie
Tiba,Mutiara Timur,Pidie
Beureuleung,Grong-Grong,Pidie
Memeuaneuk,Grong-Grong,Pidie
Leutueng,Mane,Pidie
Unoe,Glumpang Baro,Pidie
Glumpang Payong,Glumpang Baro,Pidie
Riwat,Glumpang Baro,Pidie
Trueng Campli,Glumpang Baro,Pidie
Alue Ie Puteh,Baktiya,Aceh Utara
Pantee Breuh,Baktiya,Aceh Utara
Matang Linya,Baktiya,Aceh Utara
Krueng Geukuh,Dewantara,Aceh Utara
Cot Murong,Dewantara,Aceh Utara
Buloh Blang Ara,Kuta Makmur,Aceh Utara
Keude Krueng,Kuta Makmur,Aceh Utara
Beureughang,Kuta Makmur,Aceh Utara
Matang Ubi,Lhoksukon,Aceh Utara
Ara Bungkok,Lhoksukon,Aceh Utara
Lhoksukon Barat,Lhoksukon,Aceh Utara
Lhoksukon Teungoh,Lhoksukon,Aceh Utara
Matang Kuli,Matang Kuli,Aceh Utara
Pirak,Matang Kuli,Aceh Utara
Seulemak,Matang Kuli,Aceh Utara
Geulumpang VIII,Matang Kuli,Aceh Utara
Mane,Muara Batu,Aceh Utara
Bungkaih,Muara Batu,Aceh Utara
Baroh,Meurah Mulia,Aceh Utara
Teungoh,Meurah Mulia,Aceh Utara
Tunong,Meurah Mulia,Aceh Utara
Langgahan,Samudera,Aceh Utara
Blang Mee,Samudera,Aceh Utara
Madan,Samudera,Aceh Utara
Seuneudon,Seunuddon,Aceh Utara
Kuta Piadah,Seunuddon,Aceh Utara
Pante Seuneudon,Seunuddon,Aceh Utara
Aron,Syamtalira Aron,Aceh Utara
Krueng Pase,Syamtalira Aron,Aceh Utara
Blang Asan,Syamtalira Aron,Aceh Utara
Syamtarail,Syamtalira Aron,Aceh Utara
Mancang,Syamtalira Bayu,Aceh Utara
Meuraksa,Syamtalira Bayu,Aceh Utara
Kareung,Syamtalira Bayu,Aceh Utara
Mbang,Syamtalira Bayu,Aceh Utara
Matang Pangkat,Tanah Luas,Aceh Utara
Teungoh,Tanah Luas,Aceh Utara
Seuleumak Barat,Tanah Luas,Aceh Utara
Jrat Mayang,Tanah Pasir,Aceh Utara
Matang Panyang,Tanah Pasir,Aceh Utara
Jambo Aye Utara,Tanah Jambo Aye,Aceh Utara
Jambo Aye Teungoh,Tanah Jambo Aye,Aceh Utara
Jambo Aye Kota,Tanah Jambo Aye,Aceh Utara
Jambo Aye Barat,Tanah Jambo Aye,Aceh Utara
Sawang Utara,Sawang,Aceh Utara
Sawang Selatan,Sawang,Aceh Utara
Keude Amplaih,Nisam,Aceh Utara
Blang Dalam,Nisam,Aceh Utara
Cot Batee,Nisam,Aceh Utara
Bandar Baru,Cot Girek,Aceh Utara
Alue Rampah,Cot Girek,Aceh Utara
Beuradang,Cot Girek,Aceh Utara
Lueng Angen,Langkahan,Aceh Utara
Pintoe Rimba,Langkahan,Aceh Utara
Rampah,Langkahan,Aceh Utara
Sampoenit,Baktiya Barat,Aceh Utara
Makmur,Baktiya Barat,Aceh Utara
Buah,Baktiya Barat,Aceh Utara
Pante Tunong,Paya Bakong,Aceh Utara
Seuleumak,Paya Bakong,Aceh Utara
Tgk Syik Paya Bakong,Paya Bakong,Aceh Utara
Pante Bahagia,Paya Bakong,Aceh Utara
Simpang Paya,Nibong,Aceh Utara
Datu Nibong,Nibong,Aceh Utara
Simpang Keuramat,Simpang Keuramat,Aceh Utara
Buloh Raya Mancang,Simpang Keuramat,Aceh Utara
Lapang,Lapang,Aceh Utara
Teungku Di Banda,Lapang,Aceh Utara
Pirak Timu,Pirak Timu,Aceh Utara
Matangkuli,Pirak Timu,Aceh Utara
Reudong Pase,Geuredong Pase,Aceh Utara
Tgk. Dimanayang Mbang,Geuredong Pase,Aceh Utara
Banda Baro,Banda Baro,Aceh Utara
Lhok Weeng,Banda Baro,Aceh Utara
Bate Pila,Nisam Antara,Aceh Utara
Lhok Drien,Nisam Antara,Aceh Utara
Laure\'E,Simeulue Tengah,Simeulue
Blang Ujung,Simeulue Tengah,Simeulue
Latel,Simeulue Tengah,Simeulue
Along,Salang,Simeulue
Alang,Salang,Simeulue
Alang Tengah,Salang,Simeulue
Bakudo Batu,Teupah Barat,Simeulue
Batu Rundung,Teupah Barat,Simeulue
Darul Ihksan,Teupah Barat,Simeulue
Maskapai,Simeulue Timur,Simeulue
Delog Sibao,Simeulue Timur,Simeulue
Ujung Ganting,Simeulue Timur,Simeulue
Kualo Tujuh,Simeulue Timur,Simeulue
Tala Bano,Teluk Dalam,Simeulue
Tete Bano,Teluk Dalam,Simeulue
Sigulai,Simeulue Barat,Simeulue
Teluk Arun,Simeulue Barat,Simeulue
Sibigo,Simeulue Barat,Simeulue
Rantai Raneub,Simeulue Barat,Simeulue
Teupah,Teupah Selatan,Simeulue
Batu Berlayar,Teupah Selatan,Simeulue
Araban,Teupah Selatan,Simeulue
Devayan,Teupah Selatan,Simeulue
Nasrah,Alafan,Simeulue
Leukon,Alafan,Simeulue
Bano,Simeulue Cut,Simeulue
Tengku Diujung,Simeulue Cut,Simeulue
Delok Antengan,Teupah Tengah,Simeulue
Delok Kulungan,Teupah Tengah,Simeulue
Pulau Salapan,Pulau Banyak,Aceh Singkil
Silatong,Simpang Kanan,Aceh Singkil
Kuta Baru,Simpang Kanan,Aceh Singkil
Pasar,Singkil,Aceh Singkil
Kuta Simboling,Singkil,Aceh Singkil
Rantau Gedang,Singkil,Aceh Singkil
Pemuka,Singkil,Aceh Singkil
Tanjong Mas,Gunung Meriah,Aceh Singkil
Punaga,Gunung Meriah,Aceh Singkil
Kota Bahagia,Kota Baharu,Aceh Singkil
Gosong Telaga,Singkil Utara,Aceh Singkil
Biskang,Danau Paris,Aceh Singkil
Suro Baru,Suro,Aceh Singkil
Singkohor,Singkohor,Aceh Singkil
Kuala Baru,Kuala Baru,Aceh Singkil
Haloban,Pulau Banyak Barat,Aceh Singkil
Lima,Samalanga,Bireuen
Tgk Chiek Di Pulo Baroh,Samalanga,Bireuen
Tgk Chiek Di Matang,Samalanga,Bireuen
Mesjid Raya,Samalanga,Bireuen
Tanjongan,Samalanga,Bireuen
Tufah,Jeunieb,Bireuen
Lhok Kulam,Jeunieb,Bireuen
Jeunib,Jeunieb,Bireuen
Syuhada,Jeunieb,Bireuen
Batee Cut Lem,Jeunieb,Bireuen
Darussalam,Jeunieb,Bireuen
Krueng,Peudada,Bireuen
Blang Birah,Peudada,Bireuen
Alue Rheng,Peudada,Bireuen
Batee Kureng Peudada,Peudada,Bireuen
Tgk.Dipaya,Peudada,Bireuen
Pinto Batee,Peudada,Bireuen
Kuta Jeumpa,Jeumpa,Bireuen
Geulumpang Payong,Jeumpa,Bireuen
Balee Labang,Jeumpa,Bireuen
Blang Bladeh,Jeumpa,Bireuen
Paloh,Jeumpa,Bireuen
Matang Glumpang Baro,Peusangan,Bireuen
Matang Panyang,Peusangan,Bireuen
Glumpang Tujoh,Peusangan,Bireuen
Tgk. Di Krueng,Peusangan,Bireuen
Simpang Empat,Peusangan,Bireuen
Banjir Asin,Peusangan,Bireuen
Simpang Dua,Peusangan,Bireuen
Cot Bada,Peusangan,Bireuen
