nama_kemukiman,nama_kecamatan,nama_kab_kota
Keude Teunom,Teunom,Aceh Jaya
Paya Baro,Teunom,Aceh Jaya
Calang,Krueng Sabee,Aceh Jaya
Krueng Sabe,Krueng Sabee,Aceh Jaya
Lageun,Setia Bakti,Aceh Jaya
Rigaih,Setia Bakti,Aceh Jaya
Kulam Mutia,Sampoiniet,Aceh Jaya
Pante Purba,Sampoiniet,Aceh Jaya
Pante Cermin,Jaya,Aceh Jaya
Keuluang,Jaya,Aceh Jaya
Lamno,Jaya,Aceh Jaya
Lamme,Jaya,Aceh Jaya
Kuala Daya,Jaya,Aceh Jaya
Panga Pasie,Panga,Aceh Jaya
Panga Pucok,Panga,Aceh Jaya
Lambeuso,Indra Jaya,Aceh Jaya
Kuala Unga,Indra Jaya,Aceh Jaya
Kuta Baro,Darul Hikmah,Aceh Jaya
Lam Teungoh,Darul Hikmah,Aceh Jaya
Pasie Teubee,Pasie Raya,Aceh Jaya
Sarah Raya,Pasie Raya,Aceh Jaya
Pulo Ie,Kuala,Nagan Raya
Suak Sikha,Kuala,Nagan Raya
Jeuram,Seunagan,Nagan Raya
Parom,Seunagan,Nagan Raya
Nigan,Seunagan,Nagan Raya
Paya Udeung,Seunagan,Nagan Raya
Kulu,Seunagan,Nagan Raya
Blang Panyang,Seunagan Timur,Nagan Raya
Keude Linteng,Seunagan Timur,Nagan Raya
Paya,Seunagan Timur,Nagan Raya
Blang Ara,Seunagan Timur,Nagan Raya
Krueng Neuang,Beutong,Nagan Raya
Pulo Raga,Beutong,Nagan Raya
Blang Seumot,Beutong,Nagan Raya
Bungong Taloe,Beutong,Nagan Raya
Tripa Teungoh,Darul Makmur,Nagan Raya
Blang Tripa,Darul Makmur,Nagan Raya
Tripa Ateueh,Darul Makmur,Nagan Raya
Seuneuam,Darul Makmur,Nagan Raya
Ujong Raja,Darul Makmur,Nagan Raya
Suka Makmue,Suka Makmue,Nagan Raya
Blang Muling,Suka Makmue,Nagan Raya
Kuala Baro,Kuala Pesisir,Nagan Raya
Kuala Tuha,Kuala Pesisir,Nagan Raya
Kuala Trang,Kuala Pesisir,Nagan Raya
Tadu Ateuh,Tadu Raya,Nagan Raya
Kula Tadu,Tadu Raya,Nagan Raya
Beutong Ateuh,Beutong Ateuh Banggalang,Nagan Raya
Kuta Nibong,Tripa Makmur,Nagan Raya
Tripa Baroh,Tripa Makmur,Nagan Raya
Manyak Payed,Manyak Payed,Aceh Tamiang
Tualang Cut,Manyak Payed,Aceh Tamiang
Raja Tuha,Manyak Payed,Aceh Tamiang
Gunung Mesjid,Manyak Payed,Aceh Tamiang
Mesjid,Bendahara,Aceh Tamiang
Bandar Baru,Bendahara,Aceh Tamiang
Bandar Khalifah,Bendahara,Aceh Tamiang
Tengku Tinggi,Bendahara,Aceh Tamiang
Tumpok Tengoh,Bendahara,Aceh Tamiang
Upah Hulu,Bendahara,Aceh Tamiang
Bendahara Hilir,Bendahara,Aceh Tamiang
Telaga Meuku,Banda Mulia,Aceh Tamiang
Telaga Meuku Dua,Banda Mulia,Aceh Tamiang
Karang Bundar,Karang Baru,Aceh Tamiang
Meudang Ara,Karang Baru,Aceh Tamiang
Simpang Empat,Karang Baru,Aceh Tamiang
Sekerak,Sekerak,Aceh Tamiang
|Sekerak Hulu,Sekerak,Aceh Tamiang
Tangsi Lama,Seruway,Aceh Tamiang
Gedung Biara,Seruway,Aceh Tamiang
Sungai Kuruk,Seruway,Aceh Tamiang
Muka Sungai Kuruk,Seruway,Aceh Tamiang
Kota Kuala Simpang,Kota Kuala Simpang,Aceh Tamiang
Bukit Rata,Kejuruan Muda,Aceh Tamiang
Sungai Liput,Kejuruan Muda,Aceh Tamiang
Simpang Kiri,Tenggulun,Aceh Tamiang
Kaloy,Tamiang Hulu,Aceh Tamiang
Sangka Pane,Tamiang Hulu,Aceh Tamiang
Alur Jambu,Bandar Pusaka,Aceh Tamiang
Imam Balai,Rantau,Aceh Tamiang
Rantau,Rantau,Aceh Tamiang
Datu Derakal,Pintu Rime Gayo,Bener Meriah
Tugu Rime Raya,Pintu Rime Gayo,Bener Meriah
Mude Gunter,Permata,Bener Meriah
Pilar Jaya,Permata,Bener Meriah
Pegayon Antara,Permata,Bener Meriah
Tawar Bengi,Permata,Bener Meriah
Samar Kilang,Syiah Utama,Bener Meriah
Pantan Seni,Syiah Utama,Bener Meriah
Kute Teras,Bandar,Bener Meriah
Janarata,Bandar,Bener Meriah
Pemango Kute Derma,Bandar,Bener Meriah
Gajah Mungkur,Bandar,Bener Meriah
Kute Tengah,Bandar,Bener Meriah
Teritit,Bukit,Bener Meriah
Simpang Tiga,Bukit,Bener Meriah
Redelong,Bukit,Bener Meriah
Bur Ni Cempege,Wih Pesam,Bener Meriah
Reje Ilang,Wih Pesam,Bener Meriah
Negeri Antara,Wih Pesam,Bener Meriah
Lampahan,Timang Gajah,Bener Meriah
Bandar Lampahan,Timang Gajah,Bener Meriah
Tunyang,Timang Gajah,Bener Meriah
Bener Kelipah,Bener Kelipah,Bener Meriah
Bener Selan,Bener Kelipah,Bener Meriah
Tungkuh Tige,Mesidah,Bener Meriah
Atu Mesjid,Mesidah,Bener Meriah
Rerongga,Gajah Putih,Bener Meriah
Manyang,Meureudu,Pidie Jaya
Meureudu Dalam,Meureudu,Pidie Jaya
Beuriweuh,Meureudu,Pidie Jaya
Beuracan,Meureudu,Pidie Jaya
Paya Seutuy,Ulim,Pidie Jaya
Ulim Baroh,Ulim,Pidie Jaya
Ulim Tunong,Ulim,Pidie Jaya
Nangrhoe,Ulim,Pidie Jaya
Blang Rheue,Ulim,Pidie Jaya
Jangka Buya Baroh,Jangka Buya,Pidie Jaya
Jangka Buya Barat,Jangka Buya,Pidie Jaya
Ulee Gle Dalam,Bandar Dua,Pidie Jaya
Ulee Gle Barat,Bandar Dua,Pidie Jaya
Ulee Gle Timur,Bandar Dua,Pidie Jaya
Ulee Gle Tunong,Bandar Dua,Pidie Jaya
Jangka Buya Timur,Bandar Dua,Pidie Jaya
Kuta Rentang,Meurah Dua,Pidie Jaya
Kuta Baroh,Meurah Dua,Pidie Jaya
Kuta Simpang,Meurah Dua,Pidie Jaya
Nyong,Bandar Baru,Pidie Jaya
Lueng Putu,Bandar Baru,Pidie Jaya
Musa,Bandar Baru,Pidie Jaya
Lancok,Bandar Baru,Pidie Jaya
Langgien,Bandar Baru,Pidie Jaya
Cubo,Bandar Baru,Pidie Jaya
Jalan Rata,Bandar Baru,Pidie Jaya
Tanoh Mirah,Bandar Baru,Pidie Jaya
Pante Raja Barat,Pante Raja,Pidie Jaya
Pante Raja Timur,Pante Raja,Pidie Jaya
Peuduek Baroh,Trieng Gadeng,Pidie Jaya
Peuduek Tunong,Trieng Gadeng,Pidie Jaya
Trieng Gadeng,Trieng Gadeng,Pidie Jaya
Peulandok,Trieng Gadeng,Pidie Jaya
Pangwa,Trieng Gadeng,Pidie Jaya
Putro Phang,Baiturrahman,Banda Aceh
Baiturrahman,Baiturrahman,Banda Aceh
Lamkuta,Kuta Alam,Banda Aceh
Kuta Alam,Kuta Alam,Banda Aceh
Meuraxa,Meuraxa,Banda Aceh
Tgk Chik Lamjabat,Meuraxa,Banda Aceh
Tgk Chih Abdul Rauf,Syiah Kuala,Banda Aceh
Kayee Adang,Syiah Kuala,Banda Aceh
Tgk Chik Dilamnyong,Syiah Kuala,Banda Aceh
Lueng Bata,Lueng Bata,Banda Aceh
Tgk Dianjong,Kuta Raja,Banda Aceh
Banda Jaya,Banda Raya,Banda Aceh
Lam Ara,Banda Raya,Banda Aceh
Posblang,Jaya Baru,Banda Aceh
Lambaroeh Banda,Jaya Baru,Banda Aceh
Poteumerehom,Ulee Kareng,Banda Aceh
Simpang Tujuh,Ulee Kareng,Banda Aceh
Iboih,Sukakarya,Sabang
Paya Raya,Sukakarya,Sabang
Sabang,Sukakarya,Sabang
Paya,Sukajaya,Sabang
Balohan,Sukajaya,Sabang
Cot Ba\' U,Sukajaya,Sabang|Ie Meulee,Sukajaya,Sabang
Kandang,Muara Dua,Lhokseumawe
Cunda,Muara Dua,Lhokseumawe
Lhokseumawe Selatan,Banda Sakti,Lhokseumawe
Lhokseumawe Utara,Banda Sakti,Lhokseumawe
Tengoh,Blang Mangat,Lhokseumawe
Mangat Makmu,Blang Mangat,Lhokseumawe
Meuraksa,Blang Mangat,Lhokseumawe
Paloh Timur,Muara Satu,Lhokseumawe
Paloh Barat,Muara Satu,Lhokseumawe
Seuneubok Antara,Langsa Timur,Langsa
Langsa Lama,Langsa Lama,Langsa
Langsa Baroh,Langsa Barat,Langsa
Langsa Tunong,Langsa Baro,Langsa
Langsa Kuta,Langsa Kota,Langsa
Langsa Teungoh,Langsa Kota,Langsa
Kombih,Simpang Kiri,Subulussalam
Belegen,Simpang Kiri,Subulussalam
Penanggalan,Penanggalan,Subulussalam
Binanga,Rundeng,Subulussalam
Kuala Kepeng,Rundeng,Subulussalam
Pasir Belo,Sultan Daulat,Subulussalam
Batu-Batu,Sultan Daulat,Subulussalam
Longkib,Longkib,Subulussalam
